match_id,team,player,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,technique,under_pressure,statsbomb_xg,is_goal
3869321,Argentina,Rodrigo Javier De Paul,97.6,42.3,22.517770760001984,18.37397940693353,Right Foot,Open Play,Normal,True,0.049762752,0
3869321,Argentina,Nahuel Molina Lucero,109.1,42.4,11.1610931364271,35.66636860998611,Right Foot,Open Play,Normal,False,0.43442267,1
3869321,Argentina,Lionel Andrés Messi Cuccittini,104.0,32.2,17.799999999999997,21.105020796904952,Right Foot,Open Play,Normal,True,0.03387043,0
3869321,Argentina,Lionel Andrés Messi Cuccittini,96.0,33.3,24.91766441703556,16.1292267994364,Left Foot,Free Kick,Normal,False,0.07608311,0
3869321,Netherlands,Wout Weghorst,108.7,46.4,12.986531484580473,28.047672223551295,Head,Open Play,Normal,False,0.047416847,1
3869321,Netherlands,Steven Berghuis,104.6,53.3,20.34821859524809,15.714462036739624,Left Foot,Open Play,Half Volley,False,0.032538008,0
3869321,Netherlands,Denzel Dumfries,113.5,52.9,14.44506836259351,13.694369179119507,Right Foot,Open Play,Half Volley,False,0.047394842,0
3869321,Netherlands,Steven Berghuis,97.2,37.9,22.896506283710618,18.092201633319313,Left Foot,Free Kick,Normal,False,0.08017064,0
3869321,Netherlands,Wout Weghorst,111.8,39.9,8.200609733428365,48.10108675189895,Left Foot,Open Play,Normal,True,0.21959315,1
3869321,Argentina,Lionel Andrés Messi Cuccittini,101.1,53.3,23.11060362690685,14.879371209626274,Left Foot,Open Play,Normal,True,0.035418287,0
3869321,Netherlands,Luuk de Jong,110.9,28.4,14.743473132203277,18.08550502994361,Left Foot,Open Play,Volley,False,0.05290734,0
3869321,Argentina,Lautaro Javier Martínez,109.5,45.9,12.044085685513865,30.274540310232215,Right Foot,Open Play,Normal,False,0.2245604,0
3869321,Argentina,Enzo Fernandez,94.2,43.8,26.078343505675353,15.816177711330765,Left Foot,Open Play,Normal,False,0.032085553,0
3869321,Argentina,Germán Alejandro Pezzella,112.5,31.3,11.486513831445988,24.84968567975161,Head,Open Play,Normal,True,0.04452438,0
3869321,Argentina,Lautaro Javier Martínez,97.6,38.6,22.44370735863396,18.490305177730654,Left Foot,Open Play,Normal,True,0.08241133,0
3869321,Argentina,Lionel Andrés Messi Cuccittini,96.6,41.6,23.454637068179082,17.699747545539804,Left Foot,Open Play,Normal,True,0.04201436,0
3869321,Argentina,Enzo Fernandez,97.2,49.3,24.62376900476448,15.720564862953054,Right Foot,Open Play,Normal,False,0.038940463,0
3869354,England,Philip Foden,100.2,40.0,19.799999999999997,20.945648038235262,Left Foot,Open Play,Half Volley,False,0.022691524,0
3869354,France,Olivier Giroud,110.3,38.2,9.865596788841517,40.22942965560927,Head,Open Play,Diving Header,False,0.21537142,0
3869354,France,Aurélien Djani Tchouaméni,92.5,43.5,27.721832551258224,14.92708354631667,Right Foot,Open Play,Normal,False,0.027870113,1
3869354,England,Luke Shaw,98.0,53.2,25.656188337319325,14.021934250716836,Left Foot,Free Kick,Normal,False,0.05589417,0
3869354,England,Harry Kane,113.6,52.2,13.776792079435625,14.872824394040084,Right Foot,Open Play,Normal,False,0.07522586,0
3869354,England,Jude Bellingham,117.3,35.7,5.077400909914441,57.92816398746185,Head,Open Play,Normal,True,0.21807538,0
3869354,England,Harry Kane,96.7,57.1,28.901557051480808,11.723245241828014,Right Foot,Open Play,Normal,False,0.018916143,0
3869354,France,Kylian Mbappé Lottin,107.9,32.9,14.029255147726122,25.7749739438659,Left Foot,Open Play,Half Volley,False,0.06798863,0
3869354,England,Jude Bellingham,101.1,48.0,20.523401277566062,18.739122969501068,Right Foot,Open Play,Half Volley,False,0.046397094,0
3869354,England,Harry Maguire,116.2,30.9,9.86154146165801,18.35160336137613,Head,Open Play,Normal,True,0.048588943,0
3869354,England,Jordan Brian Henderson,101.1,56.4,25.02338905903835,12.72253961820959,Right Foot,Open Play,Half Volley,False,0.017202334,0
3869354,France,Adrien Rabiot,95.6,43.2,24.608941464435244,16.78323593171144,Left Foot,Open Play,Half Volley,False,0.06667264,0
3869354,England,Bukayo Saka,103.2,47.6,18.439088914585774,20.63280686284737,Right Foot,Open Play,Normal,True,0.07073746,0
3869354,France,Ousmane Dembélé,99.5,53.8,24.71214276423637,14.102708446402795,Left Foot,Open Play,Normal,False,0.030820057,0
3869354,England,Harry Kane,99.1,53.8,25.044959572736392,13.99445569089553,Left Foot,Open Play,Normal,False,0.029508974,0
